enabled,symbol,name,asset_type,market,theme
TRUE,QQQ,나스닥100 ETF,ETF,US,US_CORE
TRUE,SPY,S&P500 ETF,ETF,US,US_CORE
TRUE,SOXX,미국 반도체 ETF,ETF,US,SEMICONDUCTOR
TRUE,SMH,미국 반도체 ETF,ETF,US,SEMICONDUCTOR
TRUE,NVDA,NVIDIA,STOCK,US,SEMICONDUCTOR
TRUE,AMD,AMD,STOCK,US,SEMICONDUCTOR
TRUE,MSFT,Microsoft,STOCK,US,BIGTECH
TRUE,AAPL,Apple,STOCK,US,BIGTECH
TRUE,005930.KS,삼성전자,STOCK,KR,LARGE
TRUE,000660.KS,SK하이닉스,STOCK,KR,SEMICONDUCTOR
TRUE,042700.KS,한미반도체,STOCK,KR,SEMICONDUCTOR
TRUE,058470.KQ,리노공업,STOCK,KR,SEMICONDUCTOR
TRUE,403870.KQ,HPSP,STOCK,KR,SEMICONDUCTOR
TRUE,039030.KQ,이오테크닉스,STOCK,KR,SEMICONDUCTOR
TRUE,247540.KQ,에코프로비엠,STOCK,KR,BATTERY
TRUE,086520.KQ,에코프로,STOCK,KR,BATTERY
TRUE,196170.KQ,알테오젠,STOCK,KR,BIO
TRUE,277810.KQ,레인보우로보틱스,STOCK,KR,ROBOT
TRUE,012450.KS,한화에어로스페이스,STOCK,KR,DEFENSE
TRUE,034020.KS,두산에너빌리티,STOCK,KR,NUCLEAR
TRUE,069500.KS,KODEX 200,ETF,KR,KR_ETF
TRUE,379800.KS,KODEX 미국S&P500TR,ETF,KR,KR_US_ETF
TRUE,379810.KS,KODEX 미국나스닥100TR,ETF,KR,KR_US_ETF
