enabled,symbol,name,asset_type,market,theme
TRUE,QQQ,나스닥100 ETF,ETF,US,US_CORE
TRUE,SPY,S&P500 ETF,ETF,US,US_CORE
TRUE,VOO,S&P500 ETF,ETF,US,US_CORE
TRUE,IVV,S&P500 ETF,ETF,US,US_CORE
TRUE,DIA,다우존스 ETF,ETF,US,US_CORE
TRUE,IWM,러셀2000 ETF,ETF,US,US_CORE
TRUE,SCHD,미국 배당성장 ETF,ETF,US,DIVIDEND
TRUE,VYM,미국 고배당 ETF,ETF,US,DIVIDEND
TRUE,TLT,미국 장기채 ETF,ETF,US,BOND
TRUE,GLD,금 ETF,ETF,US,GOLD
TRUE,VNQ,미국 리츠 ETF,ETF,US,REIT
TRUE,XLK,미국 기술섹터 ETF,ETF,US,SECTOR_TECH
TRUE,XLF,미국 금융섹터 ETF,ETF,US,SECTOR_FINANCE
TRUE,XLV,미국 헬스케어 ETF,ETF,US,SECTOR_HEALTH
TRUE,XLE,미국 에너지 ETF,ETF,US,SECTOR_ENERGY
TRUE,XLY,미국 경기소비재 ETF,ETF,US,SECTOR_CONSUMER
TRUE,XLP,미국 필수소비재 ETF,ETF,US,SECTOR_CONSUMER
TRUE,XLI,미국 산업재 ETF,ETF,US,SECTOR_INDUSTRIAL
TRUE,XLU,미국 유틸리티 ETF,ETF,US,SECTOR_UTILITY
TRUE,XLC,미국 커뮤니케이션 ETF,ETF,US,SECTOR_COMM
TRUE,SOXX,미국 반도체 ETF,ETF,US,SEMICONDUCTOR
TRUE,SMH,미국 반도체 ETF,ETF,US,SEMICONDUCTOR
TRUE,ARKK,혁신성장 ETF,ETF,US,GROWTH
TRUE,AAPL,Apple,STOCK,US,BIGTECH
TRUE,MSFT,Microsoft,STOCK,US,BIGTECH
TRUE,NVDA,NVIDIA,STOCK,US,SEMICONDUCTOR
TRUE,AMZN,Amazon,STOCK,US,BIGTECH
TRUE,GOOGL,Alphabet A,STOCK,US,BIGTECH
TRUE,META,Meta,STOCK,US,BIGTECH
TRUE,TSLA,Tesla,STOCK,US,EV
TRUE,AMD,AMD,STOCK,US,SEMICONDUCTOR
TRUE,AVGO,Broadcom,STOCK,US,SEMICONDUCTOR
TRUE,ASML,ASML,STOCK,US,SEMICONDUCTOR
TRUE,TSM,TSMC,STOCK,US,SEMICONDUCTOR
TRUE,MU,Micron,STOCK,US,SEMICONDUCTOR
TRUE,INTC,Intel,STOCK,US,SEMICONDUCTOR
TRUE,QCOM,Qualcomm,STOCK,US,SEMICONDUCTOR
TRUE,ARM,Arm,STOCK,US,SEMICONDUCTOR
TRUE,LRCX,Lam Research,STOCK,US,SEMICONDUCTOR
TRUE,AMAT,Applied Materials,STOCK,US,SEMICONDUCTOR
TRUE,KLAC,KLA,STOCK,US,SEMICONDUCTOR
TRUE,PLTR,Palantir,STOCK,US,AI
TRUE,NET,Cloudflare,STOCK,US,AI
TRUE,005930.KS,삼성전자,STOCK,KR,LARGE
TRUE,000660.KS,SK하이닉스,STOCK,KR,SEMICONDUCTOR
TRUE,042700.KS,한미반도체,STOCK,KR,SEMICONDUCTOR
